ㄹ,지역_소분류,매장명,테마명,장르,난이도,시간,오픈(리뉴얼),비고
전라,광주,판타지아방탈출카페,인스펙토,미스터리 스릴러,,80분,2023.08.11,
전라,광주,판타지아방탈출카페,"Get O, Get O",개그 아케이드,5,90분,2024.10.03,
전라,여수,셜록홈즈 여수점,크라임씬,,4,60분,2017.06.29,
전라,여수,셜록홈즈 여수점,이상한 나라의 초대,판타지,3,60분,2017.06.29,
전라,여수,셜록홈즈 여수점,빛과 그림자:화이트의 죽음 2,드라마,3,60분,2018.07.01,
전라,여수,셜록홈즈 여수점,무속인 살인사건,,4,60분,2018.07.01,
전라,여수,셜록홈즈 여수점,할머니는 마법사,,3,60분,2019.07,
전라,여수,셜록홈즈 여수점,전기톱 살인사건,,4,60분,2017.06.29,
전라,여수,셜록홈즈 여수점,파라오의 심판,,4,60분,2019.06~07,
전라,여수,어메이징이스케이프,메이저리그,,,60분,2016.11.08,
전라,여수,어메이징이스케이프,그들의 목소리,,,60분,2016.11.08,
전라,여수,어메이징이스케이프,파괴된 도시,,,60분,2016.11.08,
전라,순천,더리얼 방탈출카페,스토커,,4,60분,2016.12.02,수리중
전라,순천,더리얼 방탈출카페,마법사의 세계,,4,60분,2017.09~2018.01,
전라,순천,더리얼 방탈출카페,저주받은 집,,4,60분,2016.12.02,
전라,순천,더리얼 방탈출카페,도둑들,,3,60분,2017.09~2018.01,
전라,목포,하일이스케이프,더 룸 014,공포,보통,60분,2018.11.16,
전라,목포,하일이스케이프,시크릿 가든,감성,약간 어려움,60분,2019.02.14,
전라,목포,하일이스케이프,헬리콥터,추리,매우 어려움,60분,2019.08,
전라,목포,하일이스케이프,외출,일상,어려움,60분,2020.09.17,
제주,제주,더메이즈 제주점,백록병원,,5,60분,2016.12.24,
제주,제주,더메이즈 제주점,이도 와이너리,,4,60분,2016.12.24,
제주,제주,더메이즈 제주점,만덕전,,3.5,60분,2016.12.24,
제주,제주,더메이즈 제주점,사라진 요원 M107,,4.5,60분,2016.12.24,
제주,제주,더코드 서귀포점,다시 시작된 살인사건,,4,60분,2017.01.18,
제주,제주,더코드 서귀포점,재즈바 W: 위험한 거래,,4,60분,2017.01.18,
제주,제주,더코드 서귀포점,위자 보드: 위험한 장난,,5,60분,2017.01.18,
제주,제주,더코드 서귀포점,강력 1반 : 사라진 아이들,,4,60분,2017.01.18,
제주,제주,더코드 서귀포점,세기의 명화를 훔치는 도둑들,,3,60분,2017.01.18,
제주,제주,제주방탈출카페 제원점,저주받은 집,,4,60분,2016.12.24,
제주,제주,제주방탈출카페 제원점,산 속의 여인,,3,60분,2016.12.24,
제주,제주,제주방탈출카페 제원점,웨딩크루즈 살인사건-2탄,,3,60분,2020.06.26,
제주,제주,제주방탈출카페 제원점,신입사원 출근기,,3,60분,2016.12.24,
제주,제주,제주방탈출카페 제원점,빛과 그림자,,4,60분,2020.06.26,
제주,제주,제주방탈출카페 시청점,학교괴담(3세대),,3,60분,2016.12.15,
제주,제주,제주방탈출카페 시청점,마법사의 세계,,4,60분,2019.04.28,
제주,제주,제주방탈출카페 시청점,위험한 레시피,,4,60분,2016.12.15,
제주,제주,제주방탈출카페 시청점,고흐의 방,,3,60분,2016.12.15,
제주,제주,제주방탈출카페 시청점,스토커,,4,60분,2016.12.15,
제주,제주,언리미티드 이스케이프,기이한 락커룸,,중,60분,2018.11~2019.06,
제주,제주,언리미티드 이스케이프,피의 멜로디 1,,중,60분,2016.12.19,
제주,제주,언리미티드 이스케이프,냉동 컨테이너의 비밀,,상,60분,2018.11~2019.06,
제주,제주,언리미티드 이스케이프,어른들을 위한 동화,,,60분,2019.07,
